S.No,comments ,Label
HATE_1874,How much do you work ...,hate
HATE_1875,"Mahanati Nuvvu Swardaparuraluvi.anta Gowravam Unte Kuturila, Marochu.Kaani Kattukonna Mogudini Vadhilesavu.Modati mogutu.Swardam Kosam NTR NTR NTR NTR MABIPTI NATHI MABIPTI NATHI MOSH AV",hate
HATE_1876,Sir meru elanti varitho interview cheyaddu,hate
HATE_1877,Anna Next Movie is yet to hit ... All the Best,non-hate
HATE_1878,"Devil Movie is also blockbuster Nikinka ... Nandamuri 3 Stars Jai NTR, Jai Balaya, Jai Ram ...... Jai Nandamuri",non-hate
HATE_1879,Asalu Nuvu Kothavallani Baga Support Chestavu Anna Ni Movies Baga Adali,non-hate
HATE_1880,"Interview Chesina Murthy Gariki Naa Abhinandananalu, Chaala Samskaaram ga Chesaru",non-hate
HATE_1881,We really give life to our Nandamuri fans but our heroes do not recite us the original,non-hate
HATE_1882,EE Madya Kaalamlo Vochina Films Lo Naaku Idhi Baaga Nachindi,non-hate
HATE_1883,E Movie Gurinchi Okkadu Negative Ga Matladina Vaadu Terrorist Ayyi Undali ..,non-hate
HATE_1884,The story is different if you don't have to over -action,hate
HATE_1885,"The people of Telangana are noticing the words of you in your assembly today, even if the thieves think the thieves are.",hate
HATE_1886,KCR vi anni commission padhakaale. Kaaleswaram Praject KCR Ku ATM. Kaaleswaram Praject Etthipothala Padhakam Kaadhu Thippipothala Padhakam Raithu Bandhu Bandhu Raabandhula Vandhala Ekaraalu,non-hate
HATE_1887,Why the same CBI,hate
HATE_1888,NV Sakkaga Matladutunava KTR. TRS lo unnavallu evadu sakkaga matladuthunduuuuuuuuuuuuuuuuuuuuuuuuuuuu,hate
HATE_1889,Telangana Vachinde Telangana Students Chanepovadam Vallameto Kadu TRS,hate
HATE_1890,Sollu Vagadam EE Sollu Brothers Komatireddy Rajagopal Garu ND Co Bro Alavatu ....! KTR Very Dynamic ND Briliiant Leader in India,hate
HATE_1891,Doralu Antene Chathagalu West Doralu Siguledhu KKR And KCR,hate
HATE_1892,What do you talk about methods,hate
HATE_1893,Rajgopal reddy sir miru super,non-hate
HATE_1894,TRS Donga Party,hate
HATE_1895,Rajagopal neeku Ethics Levu,hate
HATE_1896,KTR Baluputo matladutundu,hate
HATE_1897,AAGANDI KTR GARU MUNDUNDI MUSALLA PANDAGA,hate
HATE_1898,Arey Ktr Motham Dochukondira Me Family Nasnam Aipotharu Ra Sochi Andi Homa Lu Cheyandi… Me Family Nasnam Aipotharu,hate
HATE_1899,Hloo Ktr Garu Meru Rajagopal Reddy Garini,hate
HATE_1900,Nuvu am speaker ra babu,hate
HATE_1901,Ktr gudha ninda pogaru,hate
HATE_1902,Mukuu neelaku raayi raja,hate
HATE_1903,Oreymeepartychattaparty .Trs,hate
HATE_1904,TTR Dongal TRS Pata Leaders,hate
HATE_1905,Jai KTR Anna ....,non-hate
HATE_1906,KTR Nuvu Ni Party Lo Valasalu Avuthai Jagatha mundhu mundhu Nuvu Nuvu Ni Thandri Mathatrame,hate
HATE_1907,100RS Revanth Batch Chi Chi Congress Ki Deposit Kuda Radhu,hate
HATE_1908,Vishwak has done a good job. TV 9 is a good lesson for madness .. says,non-hate
HATE_1909,"Due to the lack of behavior, behavior, and lack of proper behavior, hero Vishwak had to be so.",non-hate
HATE_1910,Talasani Garu do not diminish the respect on you,non-hate
HATE_1911,Devi Nagavalli Oka Dogga Munda Media Medha Cheddha Peru Testhundhi,hate
HATE_1912,"The media will work for the people, and the consequences of the celebrities for your purposes will be the same.",non-hate
HATE_1913,Chinna Herola Mida Chinna Cinemala Midane Mi Prathapam ... Devi Is Now Playing Lady Victim Card Against Viswak Anna ... To Go Well ...,non-hate
HATE_1914,RGV is a good Clarity.,non-hate
HATE_1915,"TV9: Moddalo Ethics, Nijathyi Ni Memu Pattinchamu",hate
HATE_1916,Devi Anni Adugu Bed Room Lo Evaru FIRST,hate
HATE_1917,"RK, half of you talking to yourself, please talk to the other people.
",non-hate
HATE_1918,"Good actors Brahmaji ..
",hate
HATE_1919,Lanja Rhea Thana Acting Appi Nijam Opukvaali Thanu Thana Moddalo Acting,hate
HATE_1920,Rhea dabbu kosam mosali mahesh bhatt modda chickindhi,hate
HATE_1921,Deepak Kalal Increase His Hats in a Fan Day by Day,non-hate
HATE_1922,Tara Bhai Joginder Oka Chinal Chutye Manishi Paniki Malina Vadu,hate
HATE_1923,Joginder: Bhoompak Ayaega Deepak: Tante Ni Pellam puku padutavu,hate
HATE_1924,Deepak Bhai is Great Great Comedian,non-hate
HATE_1925,Tweet: Enduku Kumail Najaini Gudda Chaal Rangaluo Vuntadhi Kumail: Enduku Mi Amma Lipstick Vunthadhi,hate
HATE_1926,Sofia Vegara has a voice notlo modda erikupoyi vuntadhi,hate
HATE_1927,EE Manishi Nirupinchadhu Thanu Andari Entarin Cheyaladhu Emi Bothulu Vadakundha,non-hate
HATE_1928,I hate karan becaus thana mokkam naku shit kurchuvalani korika,hate
HATE_1929,Karan Johar Asla Modda Levadu Anta Andukey Ammila Mataladuthaane Vunatru,hate
HATE_1930,Richard Jerkins Na Gudda Ni Pellam Notlo Pettali,hate
HATE_1931,Taracy Morgan Modda Oka Murgi Poyindhi Vuntadhi Endukuey Ante Karey Gah Vuntadhi,hate
HATE_1932,"If Modi touches him, Pakistan is now intelligent.",non-hate
HATE_1933,Tom hanks gudda kompu kodutar manachigah koduko modda,hate
HATE_1934,Shaq Modda Ante Vunnavu Ra Kevin Neku Enduku Affair,hate
HATE_1935,Gangam Style Moddalo paata naku Mic Mokam Dengali anipistahdi,hate
HATE_1936,Drake Nuvvu daridam gah vuntavu entha ante cude oil chetha inka Baguntadhi,hate
HATE_1937,Simon cowell u my frnd nuvvu oka paniki malina modda vi enduku putavu telidhu,hate
HATE_1938,sia vinadaniki notlo motham petta vuntau padutadhi,hate
HATE_1939,Jennifer aniston nuvvu andari gudda nakutavu,hate
HATE_1940,Courtney Oka Poru Lanja Andari Modda Nakudhi,hate
HATE_1941,"Right, super, is the character.
",non-hate
HATE_1942,Some Andhra pigs are in the mud (YCP) happiness ...,hate
HATE_1943,chandra babu oka donga na koduku ap ni naisham chesthadhu,hate
HATE_1944,Roja Lanja Blue Films Cheshukonedanvi Nuvvu MP Enti?,hate
HATE_1945,Roja Ninnu Choosthey Nak Guddalo Edo Nakuladi Nuuvu Ni Barrey Guntu,hate
HATE_1946,Jagan Policy amma vadi dabbulu veya nanna guda lo nalugdham,hate
HATE_1947,Jagan valla ma jevuthalu modda kuripoyindhi nuvvu kukka modda laga chasthavy lanjakodaka,hate
HATE_1948,kodali nani koja na koduku mla lankadhnulu okati levu,hate
HATE_1949,Naku Asla Courtney Cox Nachadhu Thanu Thana Moddalo Overacting #Pussyhoecourtney,hate
HATE_1950,Ananaya Panadey vi nimma dabbalu laanti payalu,hate
HATE_1951,The rulers have no knowledge of the people of Bangladesh! Believing Bangladesh and Pakistan should not be fooled! Feeling the result of the stupid work done!,non-hate
HATE_1952,EE Chetha Vedava Ku Copper Dam Ante Emito Telusuna 1st Adi Cheppamanandi,non-hate
HATE_1953,Veedu jagan sanka baga nakeshadu,hate
HATE_1954,Why don't you get the roads? Why not build projects? Why not make a ban on alcohol? Why don't the companies bring?,non-hate
HATE_1955,me janasenaki anta seeen ledu aruna medam,non-hate
HATE_1956,Jagan lanjagadu e meting lo emi matladuthado vadike thatiyadu,hate
HATE_1957,YCP Party Roudy Rajyam Tharimikotali,non-hate
HATE_1958,It is evident that you are afraid.,hate
HATE_1959,"Babu KCR, Meeru Congress Thothu, Modi Sir Gurchi Maryadaga Mataldandi",non-hate
HATE_1960,Meri NV Appu Tiskoku Central Government Nunchi Inka Cooperation Loan Tiskoni 5lakhs Crores Aapu Lo Undi Telangana State .. Please stop free free schemes ..,non-hate
HATE_1961,Raani Pramadam Raani No Problem .. Next Tym BJP Ki Vote Veyandi Telangana Prajalara,non-hate
HATE_1962,TRS nu odinchedhi only BJP,non-hate
HATE_1963,Debate la Paalgone TRS Naayakulaku Edhutivaarini Maatladaneeyakapovadam Samskaaram Kaadhu.,non-hate
HATE_1964,KCR 420 TRS Party 420 Party,hate
HATE_1965,Louda TRS,hate
HATE_1966,Bangaru Telangana Yevarikhi Vachindhi? Ache din yevarikhi vachindhi?,non-hate
HATE_1967,Sir Meeru Vastee Alochinchadaanikeee Chaala Best Future For Our Generation .... EE Musali Dhopidi Politics Poovali,non-hate
HATE_1968,Time Waste Sir Jagan Cheyalenidi Meeru Ela Chestaru Devudu Kadu Kada AP Problem Cheyavaddu,non-hate
HATE_1969,Niku Oka Cinimalu 100 kotlu nikendukura annikastalu vidu sodi pedalaku yemievvadu maremi sestavu bayya,hate
HATE_1970,Meru Gelvali Jai Jenasena Pavankalyan SIR,hate
HATE_1971,Gorantla Madav Issues Side Chyadaniki Jenasena Ni Kelikaru Yeppatu Lane,non-hate
HATE_1972,Pavan anna madagudu ra ani cheppa,non-hate
HATE_1973,nuvu pulivendula ke rara pukaa,hate
HATE_1974,First Move Doilogs API 3 Wife Laki Nayam Chesi Tavata Nethulu. CHEPU BABU PARTNER OK,hate
HATE_1975,Pawan Gorrelaki Avesam Thappa alochana ledhu,hate
HATE_1976,Jai CM Jagan Mohan Reddy Garu Jai Ysr Jai YSRCP,non-hate
HATE_1977,Jai Jagan Verevallaku Avakasam iste Marala AP Reddoche Modalette AP Develop Kavatam Kastam,non-hate
HATE_1978,"Jagan KD No.1 Behavior is Like Thuglaq, After Some Time 4 Capitals for India, East, West, North & South Capitals.",non-hate
HATE_1979,Study Chesi KCR EM PIKINDU VELUMUNDRA AYINA PM POSITION LO UNDU that is Modi,non-hate
HATE_1980,Desha ki pattina daridram modi,hate
HATE_1981,Elaanti Sannasi Matalu Vinalani Maku Ledu Mundu Sari Ga Matladu Mariyada Ichi Puchukovale Anthegani Telangana Slag Ani Memilage,non-hate
HATE_1982,KCR Ni CM Chesindi Ilani Sannasi Panulu Cheyadanikekad Cathakakapothe Musuko,non-hate
HATE_1983,Veedu jagan sanka baga nakeshadu,hate
HATE_1984,TV 9 is watching the useless channel clashes,non-hate
HATE_1985,"
TRS Party Lo Telangana Kosam Poradina Valle Unnara Poratam Ki Vyatirekam Ga Unnollani Minists Ala Chesinaru",non-hate
HATE_1986,Thu bandhu lu Andaru Rythulaku Echinattu Andaru Dalithulaku Dalitha Bandhu Estara..Meeru M Ina Mee,non-hate
HATE_1987,Chandrababu,non-hate
HATE_1988,Jai Anitha Akka Jai ​​TDP Jai Telugu Desam Jai Lokesh Jai TDP,non-hate
HATE_1989,Venkata Reddi Yadava Ninnu Cheap Gah Vallu Kanapade Thantharru Take Care,hate
HATE_1990,me koduku ki eva ra poka,hate
HATE_1991,"Rayalaseema Leders Povali JSP Ravali Pavan Kalyaan Garu Real Indian Real God Jai Bheem
",non-hate
HATE_1992,420Jagangadu Povali PawanKalyangaru CM Khavali Rastam Bagupaddali Jai Janasena Jai ​​PawanKalyan,non-hate
HATE_1993,Meeku assalu em matladalo kuda telidhu edo vaagaali vaagaali vaaguthaaru nv pedda leader vi nv cheppindhe nijam enduku paniki maalina debate lu,non-hate
HATE_1994,YCP Party Roudy Rajyam Tharimikotali,hate
HATE_1995,Kodali Nani Jagan Sanka Baga Nakeshadu,hate
HATE_1996,"Janasena Vallaki Subject Ledu, ye debate aina okate note",non-hate
HATE_1997,YCP RIP JAI Janasena Jai ​​PSPK,non-hate
HATE_1998,4 Lakh Croore Apu Cheshadu Yekada Poyayi Sigu Leni Lanja,hate
HATE_1999,Wow Pawan Jee What A Idia Ur Running Mak Govt With Movie Style Most Hilight Comedy Of Pawan Garu Enjoy Jai Jai Jagan,non-hate
HATE_2000,Niku Family Undi Gah Ra Jagratamma Venkata,hate
HATE_2001,Excellent Speech Bro well described Jai Janasena,non-hate
HATE_2002,The Great Honest True Leader Pawan Kalyan Sir CM Kavali Nyayam Jaruguthundhi AP Prajalaki Sir,non-hate
HATE_2003,"Well, if you win such people again, there will be no boundaries. None of the culture does not vote for them",non-hate
HATE_2004,Super Anna Pawan Kalyan Jai Janasena Next CM Pawan Kalyan Gare,non-hate
HATE_2005,Meeru Chaalaa..Baagaa..Cheppaaru Brother ..!,non-hate
HATE_2006,Miru enta mothukunna prajalu mararu. Elections Vaste Tisukoni Vote Vestaru ......,hate
HATE_2007,Jayaho janasainiks. Oka Lakadi Gadi Gurinchi TIME Waste Chesukovaddu. Prajalu Chepputho Kotte Rojulu Daggaralo Unnayi,hate
HATE_2008,Super tammudu,non-hate
HATE_2009,How much caste madness for him is Jr NTR Ni BJP uses the game for campaigning.,hate
HATE_2010,Shabash and Kodali Nani have been well grass.,hate
HATE_2011,Dust,hate
HATE_2012,Super Super Super Bharani Garu Film Industry Character Artists The Veda You Know Well Thank you,non-hate
HATE_2013,Another film is ready to invade North Audience. Show the South. All the Best ...,non-hate
HATE_2014,Charmie Nee Nee Telugu,hate
HATE_2015,Mike tyson tho puri tho cheyadam vijay luck,non-hate
HATE_2016,Telufu Interview Lo Hindi Comments Enduku Chupistunaru ..... Ma Cinema Antha Fame Aindi Ani Chepukodanika,hate
HATE_2017,Mekalu Flower Thinna Tharutha Vijay Deverakonda Anna Himalaya Vellipovali,hate
HATE_2018,Ananya Baaga Kathal Padthundu Enthaina Bollywood Kada,hate
HATE_2019,Charmi ki edo ayindi navvaleka sachipothundi,hate
HATE_2020,Liger toward boycott,hate
HATE_2021,Suma Athi thativi vd haadi attitude promotion Motham Dobbesindi,hate
HATE_2022,Charme intha over action enduku chestondi,hate
HATE_2023,SODI AKKUVUGA UNDI MATTER LEDU DOUBT HEY,hate
HATE_2024,Charmie chiraku teppistundi,hate
HATE_2025,E Roju E Liger Movie Chusa Uttar Flop Movie Jeevitham Meedha Virakthi Puttipoyindhi,hate
HATE_2026,Suma Garu Koncham Thagichuko,hate
HATE_2027,Em kanapadathunnayi bokka,hate
HATE_2028,Puri Sir Liger Movie Block Baster You All The Best Sir,non-hate
HATE_2029,Anna Miru Thaggadhu Miru Topu Mi Tharvathe Avaraina,non-hate
HATE_2030,Sukumar writes the story well,non-hate
HATE_2031,"The elder brother who worked very hard, hence in such a good status",non-hate
HATE_2032,Mega Star Ane personal,non-hate
HATE_2033,Ilani Avamanalu Chiru Ni Megastar ga Nilabettai .. He is our inspiration .. Love you chiru ..,non-hate
HATE_2034,Dear Chiranjevi Sir Meku Yavaru Blame Chasina Ne Kosam Memu Unamu Ee Pranam Unanta Varaku,non-hate
HATE_2035,Ippatiki mee anna vinayangaa chethulukattukoni nilabaduthunnadu,non-hate
HATE_2036,"AA YEDawa, Daddamma Yewadoo Kaadu Mohan Babu",hate
HATE_2037,Director Skill Mida Prati Pakodi Gaadu Comment Cheyadamey Comments Lo Judge Laaga,hate
HATE_2038,Join Puri Sukumar as an assistant. Well learned. Liger made the film so poor.,hate
HATE_2039,Some people have no future if the name of a little older brother,non-hate
HATE_2040,"Megastar Tho Dutt Garu 4movies Theesthey 3 Industry Hits.Charan Janvi
Dutt garu",non-hate
HATE_2041,Ippudu unna vedavalaku yemi telusu anna chiru.,hate
HATE_2042,"Father Constable Ani Cheppukodaniki Siggu Padutunnadu Adava Maradu, Inspector Ani Cheppukuntadu, Nelantolla Valle Mega Family",hate
HATE_2043,Ikkada konni snow kukkalu morugutunnay,hate
HATE_2044,Aapandi EE Dabba Maatalu,hate
HATE_2045,Nuvvu pedda dramagadivi,hate
HATE_2046,Mammalni inspire avvamantunnaav. Mari nuvvenduku inspire avvalekapoyav. Antha Goppa Vyakthini Intlo Pettukuni Nuvvem Peekaav Aayana Peru Use Chesukuni Chillara Poguchesukovadm Thappaa.,hate
HATE_2047,Self dabba yekkuva indhi nagababu nevu ne bussu lu tho,hate
HATE_2048,Vadu Vani Over Action Rod La Undi Movie The Great Tyson Garini Joker Ni Chesesaru ..,hate
HATE_2049,Motham Cinema podaniki ne over action matala valle kondanna,hate
HATE_2050,Bokkalo maddagudu,hate
HATE_2051,Konda gani over action kompamunchindi,hate
HATE_2052,Indian Shake Cheyatam Api Poori Di When Cheyyi Rasam Vostsadi,hate
HATE_2053,industry lo Inni Movies Flop Ayinay Vijay Puri,non-hate
HATE_2054,"Your analysis is a miracle, and I have not seen the film yet, and you have to watch the movie after your explanation",non-hate
HATE_2055,Krishnam Vande Jagadgurum,non-hate
HATE_2056,Very well explained Brother. Small correct,non-hate
HATE_2057,Next Karthikeya 3 is the mystery of the city of Dwarka in the sea ...,non-hate
HATE_2058,Open Heart with Sri Arke's program is what I like most good questions. Sir wants to do this without stopping this program every Sunday,non-hate
HATE_2059,"Hindutva means to be leaders like Raja Singh. Jai Sriram, Jai Modi, Jai BJP, Jai Raja Singh.",non-hate
HATE_2060,Rajasingh is the only BJP in Telangana.,non-hate
HATE_2061,"If men are magical, we have always been a victory for God to believe ...",non-hate
HATE_2062,He also made a film to think of a negative comment. Youth means you ..,non-hate
HATE_2063,Mouth publicity did not come to any movie.,non-hate
HATE_2064,Watching the movie ..! Super means Best Movie in Super 2022,non-hate
HATE_2065,The god of God is with you ... Watching this video of Megastar Chiranjeevi ... All the best from megastar fans,non-hate
HATE_2066,"I want to watch the movie today, it is Krishna Janmashtami's day, that Krishna decides. Going to watch the movie today",non-hate
HATE_2067,Jai Sri Krishna is the miracle of the movie Mouth Publicity,non-hate
HATE_2068,"For those who cannot do the film without aspirations, excessive romance, extreme violence, please learn.",non-hate
HATE_2069,Good Voice Chiranjeevi is the ideal,non-hate
HATE_2070,Jai Megastar E Director Good Movies teesadu,non-hate
HATE_2071,In society ... a man can go anywhere .... All those who don't know ... are in the legislature ...,hate
