S.No,Comments,Label,
HATE_1870,NTR film same Lakshmi garu chepinattu tisaru.. real story. Am extra topics add cheyaled. Jai RGV. NTR story mothm lakshmis ntr lo poorthi ga chupincharu. Jai NTR,non-hate,
HATE_1871,ఏదీ ఏమైనా  వృధాప్యంలో ntr గారి అవసరం మీ జీవితాన్ని చీకటి బిలం చేసింది,non-hate,
HATE_1872,నేను ఓపెనహార్ట్ విత్ RK తప్పక చూస్తుంటా.  ఇంత దరిద్రపు ఇంటర్వ్యూ పెట్టకుండా వుండాల్సింది.  తేనె పూసినకత్తి,hate,
HATE_1873,Devudu lanti manishini cheda dobbataniki anni times kalavataniki try chesava....... Niku dandam thalli God lanti manishi life history lo oka mark laga unnav.....,hate,
HATE_1874,"హరికథలు, బుర్రకథలు చెబుతాను అని వచ్చి  ఎంత పనిచేసేవు....",hate,
HATE_1875,"Mahanati nuvvu swardaparuraluvi.anta gowravam unte kuturila,marochu.kaani kattukonna mogudini vadhilesavu.modati mogutu kooda vadelesav.swardam kosam NTR garini mabbipatti manchidanila natinchi mosamchesav",hate,
HATE_1876,Sir Meru elanti varitho interview cheyaddu,hate,
HATE_1877,అన్నా నెక్స్ట్ మూవీ ఇంకా గట్టిగా కొట్టాలి... ఆల్ ది బెస్ట్,non-hate,
HATE_1878,"డెవిల్ మూవీ కూడా Blockbuster నీకింకా తప్పదు దిగ్విజయం... నందమూరి 3 స్టార్స్  జై ఎన్టీఆర్, జై బాలయ్య, జై రామ్...... జై నందమూరి",non-hate,
HATE_1879,Asalu nuvu kothavallani baga support chestavu anna ni movies baga adali,non-hate,
HATE_1880,"Interview chesina Murthy gariki naa abhinandanalu, chaala samskaaram ga chesaru",non-hate,
HATE_1881,నిజంగా మన నందమూరి ఫ్యాన్స్ వాళ్ళ కోసం ప్రాణాలైనా ఇస్తాం కానీ మన హీరోలు అసలు  మనల్ని  పఠియించుకోరు దీనికి  బెస్ట్ ,non-hate,
HATE_1882,Ee madya kaalamlo vochina films lo naaku idhi baaga nachindi,non-hate,
HATE_1883,E movie Gurinchi okkadu negative ga matladina vaadu terrorist ayyi undali..,non-hate,
HATE_1884,సుమ నీ ఓవర్ యాక్షన్ తగించుకో లేకుంటే కథ వేరే,hate,
HATE_1885,దొంగలు దొంగలు కొట్టుకు  కుంటారు అంటే ఏందో అనుకున్నా  అది ఏందో ఈరోజు మీ అసెంబ్లీలో మీరు మాట్లాడే మాటలు యావత్ తెలంగాణ ప్రజలు గమనిస్తున్నారు ....,hate,
HATE_1886,KCR Vi Anni Commission Padhakaale. Kaaleswaram Praject KCR Ku ATM. Kaaleswaram Praject Etthipothala Padhakam Kaadhu Thippipothala Padhakam  Raithu Bandhu Raabandhula Bandhu Vandhala Ekaraalu Unnavaariki Raithu Bandhu Esthunnaadu KCR,non-hate,
HATE_1887,అదే సీబీఐ అంటే కచరాలకు ఎందుకు బయం,hate,
HATE_1888,Nv sakkaga matladutunava KTR. TRS lo unnavallu evadu sakkaga matladuthunduuu,hate,
HATE_1889,Telangana vachinde telangana students chanepovadam vallameto kadu trs,hate,
HATE_1890,Sollu vagadam ee sollu brothers komatireddy rajagopal garu nd co bro alavatu....! KTR very dynamic nd briliiant leader in India,hate,
HATE_1891,doralu antene chathagalu west doralu siguledhu kkr and kcr,hate,
HATE_1892,పద్ధతుల గురించి మీరు మాట్లాడాటం ఏంటి రా హౌలే కేటీర్,hate,
HATE_1893,Rajgopal reddy sir miru super,non-hate,
HATE_1894,TRS donga party,hate,
HATE_1895,Rajagopal neeku ethics levu,hate,
HATE_1896,Ktr baluputo matladutundu,hate,
HATE_1897,Aagandi KTR garu mundundi musalla pandaga,hate,
HATE_1898,Arey ktr motham dochukondira me family nasnam aipotharu ra Sochi andi Homa lu cheyandi… me family nasnam aipotharu,hate,
HATE_1899,Hloo ktr garu meru rajagopal Reddy garini Peru petti piliche antha thopa nuvv.........,hate,
HATE_1900,Nuvu Am speaker ra babu,hate,
HATE_1901,Ktr gudha ninda pogaru,hate,
HATE_1902,Mukuu neelaku raayi raja,hate,
HATE_1903,Oreymeepartychattaparty .trs,hate,
HATE_1904,Ttr dongal trs pata leaders,hate,
HATE_1905,Jai ktr Anna ....,non-hate,
HATE_1906,Ktr nuvu ni party lo Valasalu avuthai jagatha mundhu mundhu nuvu ni thandri mathatrame Migultharu Nunu chepindhi jaragakapothe voche election lo nike na votu,hate,
HATE_1907,100rs revanth batch chi chi Congress ki deposit kuda radhu,hate,
HATE_1908,విశ్వక్ మంచి పని చేశారు. Tv 9పిచ్చికి మంచి గుణపాఠం.. చెప్పారు,non-hate,
HATE_1909,"నాగవల్లి గారి మాట తీరు,ప్రవర్తన,సరిగ్గా లేకపోవడం వల్లనే హీరో విశ్వక్ అలా రీయక్ట్ అవ్వాల్సి వచ్చింది..",non-hate,
HATE_1910,తలసాని గారు మాకు మీ మీద ఉన్న గౌరవం తగ్గించుకోకండి,non-hate,
HATE_1911,devi nagavalli oka dogga munda media medha cheddha peru testhundhi,hate,
HATE_1912,"మీడియా వాళ్ళు ప్రజలకోసం పని చేయండి, మీ ప్రయోజనాలకోసం సెలెబ్రిటీల వెంబడి పడితే జరిగే పరిణామాలు ఇలానే ఉంటాయి.",non-hate,
HATE_1913,Chinna herola mida Chinna cinemala midane mi prathapam...Devi is now playing Lady Victim Card  against Viswak Anna...We All Public should support him...Stay strong Anna...we are there...we will make ur movie to go well...,non-hate,
HATE_1914,RGV గారు మంచి క్లారిటీ గ ఉన్నారు తేర వెనక  ప్రతిఒక్కరూ చేసేపని ఈయన తేర ముందు చేస్తున్నారు అంతే,non-hate,
HATE_1915,"TV9: moddalo ethics, nijathyi ni memu pattinchamu",hate,
HATE_1916,devi Anni adugu bed room lo evaru first,hate,
HATE_1917,"RK గారు, సగం మీరే మాట్లాడేస్తున్నారు, దయచేసి అవతలివాళ్ళని పూర్తి గా మాట్లాడనీయండి.
",non-hate,
HATE_1918,"మంచి నటులు బ్రహ్మాజీ గారు..
",hate,
HATE_1919,lanja rhea thana acting appi nijam opukvaali thanu thana moddalo acting,hate,
HATE_1920,rhea dabbu kosam mosali mahesh bhatt modda chickindhi,hate,
HATE_1921,Deepak Kalal Increasing His Haters In To A Fan Day By Day,non-hate,
HATE_1922,tara bhai joginder oka chinal chutiye manishi paniki malina vadu,hate,
HATE_1923,joginder:bhoompak ayaega  deepak: tante ni pellam puku padutavu,hate,
HATE_1924,Deepak bhai is great great comedian,non-hate,
HATE_1925,tweet:enduku kumail najaini  gudda chaal rangaluo vuntadhi kumail: enduku mi amma lipstick vunthadhi,hate,
HATE_1926,sofia vegara has a voice like notlo modda erikupoyi vuntadhi,hate,
HATE_1927,ee manishi nirupinchadhu thanu andari entarin cheyaladhu emi bothulu vadakundha,non-hate,
HATE_1928,i hate karan because thana mokkam naku shit kurchuvalani korika,hate,
HATE_1929,karan johar asla modda levadu anta andukey ammaila mataladuthaane vunatru,hate,
HATE_1930,richard jerkins na gudda ni pellam notlo pettali,hate,
HATE_1931,taracy morgan modda oka murgi poyindhi vuntadhi endukuey ante karey gah vuntadhi,hate,
HATE_1932,మోదీ ఒక ప్రళయం ఆయనను టచ్ చేస్తే ఇక అంతే పాకిస్థాన్ కి ఇప్పుడు బుద్ధి వచ్చినట్టుంది..జైమోదీ,non-hate,
HATE_1933,tom hanks  gudda kompu kodutar manachigah koduko modda,hate,
HATE_1934,shaq modda ante vunnavu ra kevin neku enduku affair,hate,
HATE_1935,gangam style moddalo paata naku mic mokam dengali anipistahdi,hate,
HATE_1936,drake nuvvu daridam gah vuntavu entha ante cude oil chetha inka baguntadhi,hate,
HATE_1937,simon cowell u my frnd nuvvu oka paniki malina modda vi enduku putavu telidhu,hate,
HATE_1938,sia vinadaniki notlo motham petta vuntau padutadhi,hate,
HATE_1939,jennifer aniston nuvvu andari gudda nakutavu,hate,
HATE_1940,courtney oka  poru lanja andari modda nakudhi,hate,
